raw_word,is_promoted,type_unsmile
개놈,False,A
개년,False,A
개등신,False,A
개병신,False,A
개보쥐,False,A
개보지,False,A
개부랄,False,A
개시키,False,A
개새끼,False,A
개십,False,A
개십새,False,A
개십세,False,A
개쓰레기,False,A
개씨발,False,A
개씨펄,False,A
개자식,False,A
개자지,False,A
개잡년,False,A
개잡지랄,False,A
개젓가튼넘,False,A
개좃,False,A
개좆,False,A
개죷,False,A
개지랄,False,A
걔잡년,False,A
걔잡지랄,False,A
깔다구,False,A
깔따구,False,A
깝친다,False,A
꼴리다,False,A
내자지,False,A
내잠지,False,A
내조지,False,A
너거애비,False,A
너거어마이,False,A
너그어미,False,A
뇬,False,A
뉘기뮈,False,A
뉘기미,False,A
뉘뮈,False,A
뉘미랄,False,A
뉘미럴,False,A
뉘미룰,False,A
뉘이미,False,A
뉭기리,False,A
뉭기미,False,A
느그애미,False,A
느그애비,False,A
느그엄마,False,A
느그에미,False,A
느그에비,False,A
늬긔믜,False,A
늬긔미,False,A
늬기뮈,False,A
늬기미,False,A
늬믜,False,A
늬미,False,A
닁기미,False,A
닁김,False,A
니귀뮈,False,A
니그으미,False,A
니긔미,False,A
니기뮈,False,A
니기믜,False,A
니기미,False,A
니매랄,False,A
니매럴,False,A
니머럴,False,A
니뭬랄,False,A
니뭬럴,False,A
니뮈,False,A
니밀할,False,A
니아범,False,A
니애미,False,A
니애비,False,A
니어미,False,A
니엄마,False,A
니에미,False,A
니에비,False,A
니이미,False,A
니좃,False,A
닥처,False,A
닥쳐,False,A
닥춰,False,A
닥치,False,A
닦처,False,A
닦쳐,False,A
닦초,False,A
닦쵸,False,A
닦춰,False,A
닦치,False,A
닭대갈,False,A
닭뒈가리,False,A
닭쳐,False,A
대가뤼,False,A
대가리,False,A
대갈,False,A
대져,False,A
대질래,False,A
대질레,False,A
덩쉰,False,A
덩신,False,A
데가뤼,False,A
데가리,False,A
데갈텅,False,A
데갈통,False,A
데저라,False,A
데져,False,A
데져라,False,A
데질레,False,A
도라이,False,A
돈년,False,A
돈새끼,False,A
돌대가리,False,A
돌머리,False,A
돌아이,False,A
돼가리,False,A
되질래,False,A
둇같은,False,A
뒈가리,False,A
뒈져,False,A
뒈져라,False,A
뒈진다,False,A
뒈질,False,A
뒈질래,False,A
뒈질레,False,A
뒤싸질놈,False,A
뒤여질놈,False,A
뒤저라,False,A
뒤져,False,A
뒤진,False,A
뒤질,False,A
뒤짐,False,A
등쉰,False,A
등시,False,A
등신,False,A
등신새끼,False,A
등신세끼,False,A
듸랄,False,A
듸져,False,A
디랄,False,A
디럴,False,A
디저라,False,A
디져,False,A
디져라,False,A
디진다,False,A
디질껴,False,A
디질래,False,A
디질레,False,A
또라이,False,A
똘아이,False,A
띠부랄,False,A
띠불,False,A
매친뇬,False,A
머저리,False,A
멍청한년,False,A
메친,False,A
메틴넘,False,A
미이친뇬,False,A
미친놈,False,A
미친년,False,A
미친뇬,False,A
밥튕,False,A
밥팅,False,A
뱅신,False,A
버러지,False,A
벵신,False,A
벼엉신,False,A
